MANDT,MATNR,MEINH,UMREZ,UMREN,EANNR,EAN11,NUMTP,LAENG,BREIT,HOEHE,MEABM,VOLUM,VOLEH,BRGEW,GEWEI,MESUB,ATINN,MESRT,XFHDW,XBEWW,KZWSO,MSEHI,BFLME_MARM,GTIN_VARIANT,NEST_FTR,MAX_STACK,CAPAUSE,TY2TQ,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-003087,ST,1,1,,,,1.000,1.000,1.000,MM,1.000,MMQ,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260223,192128,2026-02-23 19:21:49.699,2026-02-23 19:40:08.957
500,MAT-000736,ST,1,1,,,,600.000,600.000,600.000,MM,216000000.000,MMQ,50.300,KG,,0000000000,00,,,,,,,0,0,0.000,,20260209,225401,2026-02-09 22:55:02.904,2026-02-09 23:14:32.130
500,MAT-002176,ST,1,1,,,,460.000,468.000,471.000,MM,101396880.000,MMQ,50.595,KG,,0000000000,00,,,,,,,0,0,0.000,,20260129,213022,2026-01-29 21:30:35.471,2026-01-29 21:39:17.811
500,MAT-004348,ST,1,1,,,,500.000,300.000,400.000,MM,60000000.000,MMQ,12.896,KG,,0000000000,00,,,,,,,0,0,0.000,,20260129,220549,2026-01-29 22:05:57.527,2026-01-29 22:09:18.025
500,MAT-004464,ST,1,1,,,,0.000,0.000,0.000,MM,0.000,MMQ,0.001,KG,,0000000000,00,,,,,,,0,0,0.000,,20260127,172054,2026-01-27 17:21:17.723,2026-01-27 17:38:54.352
500,MAT-002156,ST,1,1,,,,320.000,468.000,471.000,MM,70536960.000,MMQ,33.730,KG,,0000000000,00,,,,,,,0,0,0.000,,20260120,142815,2026-01-20 14:29:37.746,2026-01-20 14:40:36.365
500,MAT-002781,ST,1,1,,,,1.000,1.000,1.000,MM,1.000,MMQ,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260212,120250,2026-02-12 12:03:29.120,2026-02-12 12:10:50.484
500,MAT-004328,ST,1,1,,,,0.000,0.000,0.000,,0.000,,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260224,144525,2026-02-24 14:45:33.522,2026-02-24 15:11:57.362
500,MAT-002788,ST,1,1,,,,0.000,0.000,0.000,,0.000,CCM,2.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260219,222755,2026-02-19 22:28:00.917,2026-02-19 22:38:31.682
500,MAT-003684,ST,1,1,,,,0.000,0.000,0.000,,0.000,,0.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260212,142156,2026-02-12 14:22:29.786,2026-02-12 14:40:01.888
